Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ListSize,Mean,Error,StdDev,Ratio,RatioSD,Version,OS,DateTime,SystemTag
ForLoop,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"51,144.46",600.377,561.593,1.00,0.01,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ForLoopPreIncrement,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"51,172.97",709.673,629.107,1.00,0.02,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ForLoopCachedLength,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"51,010.93",489.099,408.420,1.00,0.01,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ForLoopLocalVariable,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"47,602.72",917.595,942.302,0.93,0.02,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ForLoopUnroll4,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"35,847.44",679.441,635.549,0.70,0.01,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ForeachLoop,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"63,123.64",894.775,836.973,1.23,0.02,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ZLinqSum,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"63,043.96",840.508,745.089,1.23,0.02,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
LinqSum,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"62,898.88",619.578,579.553,1.23,0.02,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ZLinqAggregate,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"32,002.70",444.223,415.527,0.63,0.01,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
LinqAggregate,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100000,"32,010.12",196.070,163.727,0.63,0.01,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
